,Country,Average_Player_Score,Average_Player_Value,rank,Wins,Losses,Ties,Game_Count,win_percentage,lose_percentage
149,Malta,62.0,350000.0,175.0,11,98,23,132,0.08333333333333333,0.7424242424242424
150,Saint Lucia,64.0,475000.0,176.0,22,34,9,65,0.3384615384615385,0.5230769230769231
151,Moldova,64.66666666666667,947083.3333333334,177.0,18,86,23,127,0.14173228346456693,0.6771653543307087
152,Puerto Rico,71.0,2000000.0,178.0,13,25,11,49,0.2653061224489796,0.5102040816326531
153,Chad,73.0,4200000.0,179.0,11,33,9,53,0.20754716981132076,0.6226415094339622
154,Montserrat,66.33333333333333,958333.3333333334,180.0,9,20,5,34,0.2647058823529412,0.5882352941176471
155,Cuba,65.0,920000.0,181.0,52,50,25,127,0.4094488188976378,0.3937007874015748
156,Macau,60.0,240000.0,182.0,13,46,9,68,0.19117647058823528,0.6764705882352942
157,Liechtenstein,59.0,235000.0,186.0,8,91,17,116,0.06896551724137931,0.7844827586206896
158,SÃ£o TomÃ© & PrÃ­ncipe,70.0,1100000.0,190.0,7,22,2,31,0.22580645161290322,0.7096774193548387
159,Guam,67.0,475000.0,198.0,13,52,6,71,0.18309859154929578,0.7323943661971831
160,Eritrea,68.5,787500.0,203.0,8,32,12,52,0.15384615384615385,0.6153846153846154
161,Aruba,68.0,775000.0,205.0,9,33,8,50,0.18,0.66
